"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/23","Artist:","Henri de Toulouse-Lautrec","Title, Date:","At the Opera: Madame Caron in Faust, 1894","Medium:","Lithograph, 16/100","Dimensions:","Image: 14 1/4 x 10 3/8 in. (36.195 x 26.3525 cm)","Type:","Examination","Exam Date:",9/18/2017,"Overall Condition:","Good","Remarks:","Attached to a 4-ply rag board mat with two Japanese paper hinges at top

Top left corner, top right corner: buckling from hinges
Top edge: slight cockling from improper placements of hinges; needs to be flattened
Lower right edge: 1 1/2"" area cockling at sheet edge; needs to be flattened
Verso lower left edge (recto right edge): 1"" x 1/4"" paper tape attachment; remove when possible","Examiner:","Priority:","3-Treatment as necessary","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/24","Artist:","Claude-Ferdinand Gaillard","Title, Date:","Dom Prosper Guéranger, n.d.","Medium:","Engraving","Dimensions:","Image: 7 9/16 x 6 1/8 in. (19.2088 x 15.5575 cm)","Type:","Examination","Exam Date:",10/29/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
acetate

Object:
sl gen discoloration
sl-mod soiling
sl foxing
mod handling soil, stain 
distortion UR

Recommended Treatment:
clean
flatten

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","5-No treatment needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/25","Artist:","Jean-François Millet","Title, Date:","The Carder, 1855-1856","Medium:","Etching on laid paper; first and only state","Dimensions:","Image: 10 1/8 x 6 7/8 inches (25.72 x 17.46 cm)
Sheet: 13 1/2 x 9 1/2 inches (34.29 x 24.13 cm)","Type:","Examination","Exam Date:",11/2/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
2 ply rag
good glassine

Object:
sl-mod discoloration
mod light burn
heavy soiling
some accretions
T edge-narrow staining
mod plate distortion

Recommended Treatment:
clean
wasn

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/25","Artist:","Jean-François Millet","Title, Date:","The Carder, 1855-1856","Medium:","Etching on laid paper; first and only state","Dimensions:","Image: 10 1/8 x 6 7/8 inches (25.72 x 17.46 cm)
Sheet: 13 1/2 x 9 1/2 inches (34.29 x 24.13 cm)","Type:","Examination","Exam Date:",4/4/2019,"Overall Condition:","Good condition | Minor repair in-house","Remarks:",,"Examiner:","Priority:","(Not assigned)","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/26","Artist:","Albrecht Dürer","Title, Date:","The Small Horse, 1505","Medium:","Engraving","Dimensions:","Plate: 6 9/16 x 4 1/4 in. (16.6688 x 10.795 cm)","Type:","Examination","Exam Date:",10/15/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
acid glassine

Object:
sl-mod discoloration
mod accretions
B platemark damaged

Recommended Treatment:
clean 
wash
re-mend

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/26","Artist:","Albrecht Dürer","Title, Date:","The Small Horse, 1505","Medium:","Engraving","Dimensions:","Plate: 6 9/16 x 4 1/4 in. (16.6688 x 10.795 cm)","Type:","Examination","Exam Date:",6/18/2019,"Overall Condition:","(not entered)","Remarks:",,"Examiner:","Priority:","(Not assigned)","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/27","Artist:","Albrecht Dürer","Title, Date:","Melancholia I, 1514","Medium:","Engraving","Dimensions:","Plate: 9 1/2 x 7 3/8 in. (24.13 x 18.7325 cm)","Type:","Examination","Exam Date:",10/15/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
good glassine

Object:
sl discoloration w/borad areas of mod
sl-mod soiling
old hinge, length R

Recommended Treatment:
remove hinge
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/27","Artist:","Albrecht Dürer","Title, Date:","Melancholia I, 1514","Medium:","Engraving","Dimensions:","Plate: 9 1/2 x 7 3/8 in. (24.13 x 18.7325 cm)","Type:","Examination","Exam Date:",6/18/2019,"Overall Condition:","Good condition | Minor repair in-house","Remarks:",,"Examiner:","Priority:","(Not assigned)","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/28","Artist:","Jean-Auguste-Dominique Ingres, Claude-Ferdinand Gaillard","Title, Date:","Oedipus and the Sphinx, n.d.","Medium:","Engraving","Dimensions:","Image: 7 7/16 x 5 7/8 in. (18.8913 x 14.9225 cm)","Type:","Examination","Exam Date:",10/28/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
4 ply rag
good glassine

Object:
sl gen discoloration
mod soil & accretions
an glue w/mat remnants
interspersed w/ skiinning along T (front)

Recommended Treatment:
remove mat / glue
clean

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/29","Artist:","Odilon Redon","Title, Date:","Sleep (The Shulamite), 1898","Medium:","Lithograph","Dimensions:","Sheet: 6 x 6 1/2 in. (15.24 x 16.51 cm)
Image: 5 x 5 in. (12.7 x 12.7 cm)","Type:","Examination","Exam Date:",3/3/1983,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
temporary

Mat/Mount:
4 ply rag

Object:
ok
reviously treated

Recommended Treatment:
na

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","5-No treatment needed","Light Exposure:","Overall Analysis:",
